fips,rural_urban_continuum_code_2003,economic_typology_2015,census_2010_pop,residual_2010,r_birth_2011,r_death_2011,r_international_mig_2011,r_domestic_mig_2011,r_domestic_mig_2012,r_domestic_mig_2013,r_domestic_mig_2014,r_domestic_mig_2016
48261,9.0,2.0,416,0.0,11.695906433,0.0,16.374269006,21.052631579,6.7796610169,-54.23728814,-32.0,-34.20752566
48263,9.0,1.0,808,-1.0,7.3846153846,14.769230769,0.0,7.3846153846,21.978021978,-47.29309272,-35.29411765,1.3377926421
48265,4.0,5.0,49625,-4.0,9.5886547681,13.597357077,0.5237500504,3.5252407236,5.4146537842,6.4116736679,14.021771697,13.117510214
48267,7.0,5.0,4607,0.0,8.0478520935,15.225666123,0.0,5.437737901,-12.06272618,-12.90896951,2.9131652661,9.0867787369
48269,9.0,1.0,286,0.0,14.652014652,0.0,0.0,-124.5421245,41.666666667,7.3664825046,-29.85074627,31.358885017
48271,9.0,4.0,3598,0.0,8.0589134362,8.0589134362,4.4462970682,0.5557871335,1.3800717637,-8.527025168,-30.89340384,0.276816609
48273,4.0,4.0,32061,1.0,14.609933506,8.0541941123,2.840820404,-9.708737864,-9.699653807,-14.72285474,-16.27237451,-11.25691599
48275,9.0,2.0,3719,0.0,12.088650101,13.700470114,1.0745466756,0.0,1.0735373054,-0.536768653,18.077894457,-13.55661882
48277,4.0,3.0,49793,-5.0,13.061666717,10.995074287,-0.200640042,-1.003200209,-5.767858758,-10.93693037,4.6089966803,0.6673340007
48279,6.0,1.0,13977,-2.0,15.471267646,11.407386283,0.7842578069,-0.285184657,-18.19353914,-17.22008283,-16.06070652,-9.223557874
48281,2.0,0.0,19677,2.0,11.187824422,9.7263518621,2.1166154311,4.6363957063,2.5514032718,1.7414668126,-4.472271914,8.4625544196
48283,6.0,2.0,6886,2.0,13.079410708,9.1987064319,2.443406396,6.6115702479,12.147750547,29.723991507,-4.556113903,-12.86680234
48285,6.0,1.0,19263,-3.0,10.423418985,9.9048409262,0.4148624472,1.9705966241,12.513195499,5.5159733395,10.555696524,-0.200954534
48287,6.0,1.0,16612,-1.0,11.946782514,9.8349775244,-0.422360998,-3.801248982,-5.262998699,-0.786686838,4.0402822167,5.8505451644
48289,8.0,2.0,16801,0.0,12.100619933,11.862184072,0.0596089652,6.0801144492,-6.73220137,-5.395521717,7.0764617691,9.3490709361
48291,1.0,0.0,75643,-1.0,13.618792353,9.3777370941,0.3556164347,-2.871273436,-0.643213442,1.788289964,10.097227782,18.04948692
48293,6.0,4.0,23384,0.0,11.978845868,11.808933161,1.8690397808,2.2088651955,-0.719165768,-12.34987056,0.2129063851,-1.36419832
48295,9.0,2.0,3302,0.0,17.832854768,7.5562943932,3.6270213088,1.5112588786,30.084058398,6.342799481,11.074826068,-26.3717567
48297,6.0,2.0,11531,0.0,8.8453366865,9.5390885834,0.5203139227,-3.902354421,10.620844487,13.633265167,16.838401608,-13.30798479
48299,7.0,5.0,19301,0.0,7.1337446953,15.673409878,0.8331380666,-5.884037595,15.80635906,20.219213411,13.580089343,31.470508691
48301,9.0,4.0,82,0.0,22.346368715,11.173184358,0.0,122.90502793,-99.44751381,208.33333333,-174.3589744,-33.89830508
48303,3.0,0.0,278831,42.0,14.021418853,7.8799522449,1.0395434524,3.8495039107,2.0303177728,5.2756326936,8.5144567667,5.0763534861
48305,6.0,1.0,5915,1.0,12.033898305,8.9830508475,-0.169491525,-7.627118644,-19.51720596,-13.71051718,6.0732257505,0.8679802101
48307,7.0,0.0,8283,2.0,11.52562936,14.316044889,-0.485289657,6.0661207158,-1.212488633,0.9706381946,-6.343397377,-15.38555467
48309,3.0,0.0,234906,19.0,14.357207838,8.2782959628,0.7092063854,1.4226342374,-0.699886845,2.499942805,-0.800645469,1.3103528013
48311,8.0,2.0,707,1.0,14.204545455,9.9431818182,1.4204545455,-24.14772727,43.447792572,49.66442953,37.203335471,-29.37576499
48313,6.0,4.0,13664,5.0,10.694020079,8.0750763859,3.0554343082,-4.583151462,-4.072875377,3.9178698397,0.4333537973,8.2597550555
