fips,rural_urban_continuum_code_2003,povall_2019,pctpovall_2019
13201,8.0,1193,21.3
13205,6.0,6048,30.7
13207,3.0,2787,10.6
13209,9.0,1619,19.4
13211,6.0,2109,11.1
13213,3.0,5755,14.5
13215,2.0,34694,18.4
13217,1.0,12348,11.2
13219,3.0,2236,5.6
13221,3.0,1922,12.8
13223,1.0,11461,6.8
13225,6.0,5203,19.8
13227,1.0,3327,10.3
13229,6.0,3157,16.4
13231,1.0,1615,8.7
13233,6.0,6816,16.2
13235,6.0,2048,20.7
13237,6.0,3316,15.1
13239,9.0,523,22.8
13241,9.0,2181,13.0
13243,6.0,1635,25.3
13245,2.0,41081,21.7
13247,1.0,10873,12.1
13249,8.0,834,15.9
13251,6.0,3239,24.1
13253,6.0,1808,22.6
13255,1.0,11537,17.7
13257,7.0,3794,15.0
13259,8.0,1702,34.7
13261,6.0,7420,26.7
13263,8.0,1210,19.6
13265,8.0,345,22.5
13267,6.0,5507,26.5
13269,8.0,1810,22.9
13271,7.0,3516,27.7
13273,3.0,2325,28.2
13275,4.0,7894,18.0
13277,4.0,8380,21.5
13279,7.0,5086,19.2
13281,9.0,1376,12.7
13283,7.0,2043,31.6
13285,4.0,13009,19.2
13287,6.0,2132,28.0
13289,3.0,1522,19.0
13291,9.0,2800,11.6
13293,6.0,4932,19.1
13295,2.0,10034,14.7
13297,1.0,10070,10.8
13299,4.0,8742,26.3
13301,8.0,1372,26.5
13303,7.0,3940,21.4
13305,6.0,5116,18.4
13307,8.0,477,18.4
13309,9.0,1821,34.2
13311,8.0,3259,10.9
13313,3.0,13110,12.7
13315,9.0,1991,29.4
13317,6.0,1875,19.6
13319,8.0,1491,17.0
13321,3.0,4061,20.3
15001,5.0,26071,13.1
15003,2.0,74282,7.9
15007,5.0,6659,9.3
15009,5.0,17638,10.7
16001,2.0,44023,9.4
16003,8.0,539,12.7
16005,3.0,11554,13.5
16007,7.0,717,11.8
16009,6.0,1415,15.4
16011,6.0,5145,11.1
16013,7.0,1657,7.2
16015,2.0,899,11.6
16017,6.0,5689,12.6
16019,3.0,10953,9.3
16021,7.0,1794,14.8
16023,8.0,376,14.6
16025,9.0,99,9.0
16027,2.0,22828,10.1
16029,6.0,718,10.1
16031,7.0,2843,12.0
16033,8.0,122,14.5
16035,6.0,1082,13.5
16037,9.0,556,13.0
16039,4.0,3758,14.1
16041,3.0,1122,8.2
16043,6.0,1598,12.7
16045,2.0,2266,12.7
16047,7.0,2285,15.1
16049,6.0,2227,13.8
16051,3.0,2723,9.2
16053,7.0,3429,14.2
16055,3.0,16374,10.0
16057,4.0,4353,11.7
16059,7.0,1070,13.5
16061,8.0,502,13.2
16063,9.0,592,11.2
16065,6.0,10731,27.4
16067,7.0,2361,11.3
16069,3.0,4372,11.1
16071,8.0,507,11.3
16073,2.0,1736,14.9
16075,6.0,2615,11.0
16077,3.0,998,13.1
16079,6.0,2426,19.1
16081,9.0,931,7.7
16083,5.0,9420,11.0
16085,8.0,995,8.8
16087,6.0,1345,13.4
17001,5.0,7786,12.3
17003,7.0,1361,24.0
17005,1.0,1920,13.0
17007,2.0,4701,8.9
17009,7.0,674,14.8
17011,6.0,3594,11.2
17013,1.0,452,9.7
17015,7.0,1560,11.1
17017,6.0,1554,13.0
17019,3.0,38566,19.9
17021,6.0,3769,12.3
17023,6.0,1636,10.8
17025,7.0,1793,13.8
17027,1.0,2645,7.5
17029,5.0,7957,16.8
17031,1.0,659687,13.0
17033,6.0,2170,12.6
17035,9.0,1075,10.1
17037,1.0,12909,13.0
17039,6.0,1683,11.0
17041,6.0,1544,8.0
17043,1.0,54833,6.0
17045,6.0,2220,13.2
17047,9.0,744,11.8
17049,7.0,3087,9.2
17051,6.0,2961,15.1
17053,3.0,1256,10.0
17055,5.0,6199,16.4
17057,6.0,4181,13.3
17059,8.0,911,19.0
17061,6.0,1730,13.7
17063,1.0,2827,5.6
17065,7.0,1017,12.7
17067,7.0,2149,12.3
17069,9.0,683,18.0
17071,9.0,724,11.0
17073,2.0,4164,8.7
17075,6.0,3083,11.6
17077,5.0,13551,25.4
17079,7.0,942,9.9
17081,7.0,5267,14.9
17083,1.0,2171,10.4
17085,6.0,1965,9.3
17087,7.0,1435,12.9
17089,1.0,43305,8.2
17091,3.0,13271,12.7
17093,1.0,5195,4.0
17095,4.0,8490,18.6
17097,1.0,49130,7.2
17099,4.0,12837,12.2
17101,7.0,2442,18.4
17103,4.0,3724,12.0
17105,4.0,4319,13.0
17107,6.0,3124,12.8
17109,5.0,6134,23.3
17111,1.0,16380,5.4
17113,3.0,23034,14.3
17115,3.0,16762,16.7
17117,1.0,5934,13.5
17119,1.0,28284,10.9
17121,4.0,5456,15.0
17123,2.0,1007,9.0
17125,6.0,1592,12.1
17127,7.0,2143,15.9
17129,3.0,986,8.2
17131,2.0,1233,8.1
17133,1.0,1423,4.2
17135,6.0,4140,16.0
17137,4.0,4209,13.8
17139,6.0,1218,8.6
17141,4.0,4684,9.4
17143,2.0,25825,14.8
17145,7.0,2650,14.4
17147,3.0,1054,6.5
17149,7.0,2164,14.4
17151,9.0,688,16.9
17153,9.0,1171,22.0
17155,8.0,435,7.6
17157,6.0,3499,12.7
17159,7.0,1980,13.1
17161,2.0,18669,13.6
17163,1.0,33979,13.3
17165,7.0,3556,15.7
17167,3.0,23367,12.2
17169,7.0,753,11.3
17171,9.0,545,11.2
17173,6.0,2000,9.4
17175,2.0,587,11.2
17177,4.0,4997,11.5
17179,2.0,10576,8.2
17181,7.0,2835,17.2
17183,3.0,12253,16.8
17185,6.0,1533,13.5
17187,7.0,1805,11.4
17189,6.0,1099,8.1
17191,7.0,2116,13.1
17193,6.0,1906,14.5
17195,4.0,6176,11.4
17197,1.0,44518,6.5
17199,5.0,8627,13.4
17201,2.0,44613,16.1
17203,2.0,2269,6.1
18001,6.0,4444,12.6
18003,2.0,39176,10.5
18005,3.0,9205,11.2
18007,3.0,752,8.7
18009,6.0,1474,12.8
18011,1.0,4619,6.9
18013,1.0,1565,10.5
18015,3.0,1739,8.7
18017,4.0,4630,12.6
18019,1.0,11267,9.7
18021,3.0,2920,11.3
18023,6.0,3545,11.3
18025,8.0,1723,16.5
18027,7.0,3686,11.3
18029,1.0,4546,9.3
18031,6.0,2502,9.6
18033,4.0,4040,9.5
18035,3.0,22680,21.5
18037,7.0,2465,5.9
18039,3.0,19316,9.6
18041,7.0,3059,13.5
18043,1.0,8161,10.6
18045,6.0,2000,12.5
18047,1.0,2073,9.2
18049,7.0,1876,9.6
18051,2.0,3050,9.3
18053,4.0,9713,16.0
18055,3.0,4242,13.5
18057,1.0,14199,4.2
18059,1.0,3978,5.2
18061,1.0,3276,8.2
18063,1.0,8123,4.9
18065,4.0,5709,12.9
18067,3.0,9880,12.2
18069,6.0,3407,9.7
18071,4.0,4391,10.1
18073,1.0,2854,8.8
18075,6.0,2510,12.5
18077,6.0,3476,11.6
18079,6.0,3169,11.6
18081,1.0,9294,6.0
18083,4.0,4381,12.7
18085,4.0,6996,9.0
18087,6.0,2943,7.5
18089,1.0,69073,14.5
18091,3.0,13771,13.4
18093,4.0,4670,10.5
18095,3.0,16056,13.1
18097,1.0,143107,15.2
18099,6.0,4947,10.9
18101,6.0,1098,10.9
18103,6.0,4162,13.0
18105,3.0,27710,20.8
18107,6.0,4478,12.1
18109,1.0,6201,8.9
18111,1.0,1300,9.5
18113,6.0,3662,7.8
18115,1.0,554,9.6
18117,6.0,2728,14.1
18119,3.0,2447,12.0
18121,6.0,2308,15.1
18123,6.0,2113,12.1
18125,6.0,1140,9.4
18127,1.0,13421,8.1
18129,2.0,2167,8.6
18131,6.0,1357,11.2
18133,1.0,3408,10.5
18135,6.0,3222,13.3
18137,6.0,2525,9.1
18139,6.0,1785,11.0
18141,2.0,39848,15.3
18143,6.0,3194,13.6
18145,1.0,4414,10.1
18147,8.0,1728,8.7
18149,6.0,3046,13.3
18151,7.0,2846,8.6
18153,3.0,2643,14.4
18155,8.0,1529,14.5
18157,3.0,28780,16.1
18159,3.0,1166,7.8
18161,8.0,667,9.6
18163,2.0,25190,14.4
18165,3.0,1859,12.2
18167,3.0,20241,20.8
18169,6.0,3163,10.9
18171,8.0,766,9.4
18173,2.0,3888,6.3
18175,1.0,3325,12.1
18177,5.0,9577,15.2
18179,2.0,2041,7.4
18181,6.0,2429,10.3
18183,2.0,2559,7.7
19001,8.0,750,10.7
19003,9.0,450,12.5
19005,6.0,1745,13.0
19007,7.0,2373,19.3
19009,8.0,587,10.9
19011,3.0,1964,7.8
19013,3.0,17407,13.7
19015,6.0,2227,8.7
19017,3.0,1581,6.7
19019,6.0,1984,9.5
19021,7.0,1903,10.2
19023,8.0,1492,10.5
19025,9.0,1032,11.5
19027,7.0,1631,8.2
19029,6.0,1798,14.3
19031,6.0,1433,7.8
19033,5.0,3504,8.5
19035,6.0,1105,10.2
19037,6.0,1012,8.5
19039,6.0,1078,11.7
19041,7.0,1627,10.3
19043,8.0,1910,11.0
19045,4.0,6009,13.1
19047,6.0,2074,12.5
19049,2.0,3956,4.3
19051,9.0,1021,11.5
19053,9.0,1309,18.3
19055,6.0,1450,8.6
19057,5.0,5703,14.9
19059,7.0,1192,7.0
19061,3.0,10030,10.7
19063,7.0,999,11.4
19065,6.0,2489,13.2
19067,7.0,1802,11.7
19069,7.0,1105,11.2
19071,8.0,789,11.6
19073,6.0,986,11.2
19075,3.0,659,5.5
19077,2.0,929,8.8
19079,6.0,1320,9.1
19081,7.0,945,9.0
19083,6.0,1689,10.6
19085,2.0,1206,8.7
19087,7.0,2142,11.7
19089,7.0,865,9.6
19091,7.0,1010,10.8
19093,8.0,704,10.5
19095,8.0,1056,6.7
19097,6.0,2362,12.3
19099,6.0,2968,8.4
19101,7.0,2386,14.2
19103,3.0,22937,16.0
19105,3.0,1844,9.5
19107,8.0,1150,11.4
19109,7.0,1506,10.3
19111,5.0,4859,15.0
19113,3.0,24600,11.1
19115,8.0,999,9.2
19117,6.0,1263,14.9
19119,8.0,858,7.4
19121,2.0,1114,6.9
19123,7.0,2316,10.8
19125,6.0,2636,8.2
19127,4.0,4947,13.0
19129,2.0,1283,8.8
19131,7.0,961,9.3
19133,6.0,1028,12.3
19135,7.0,811,10.7
19137,6.0,1279,13.2
19139,4.0,4249,10.1
19141,7.0,1365,10.1
19143,7.0,544,9.3
19145,7.0,2020,14.9
19147,7.0,952,11.1
19149,6.0,1796,7.2
19151,9.0,654,10.1
19153,2.0,48468,10.1
19155,2.0,10002,11.0
19157,7.0,1951,11.6
19159,9.0,713,15.1
19161,9.0,903,9.5
19163,2.0,20016,11.8
19165,6.0,970,8.7
19167,6.0,2272,7.0
19169,3.0,13727,15.8
19171,6.0,2168,13.1
19173,9.0,753,12.5
19175,6.0,1433,12.1
19177,9.0,895,12.8
19179,5.0,4842,14.2
19181,2.0,3621,7.3
19183,3.0,1971,9.1
19185,9.0,1211,19.1
19187,5.0,4005,12.1
19189,7.0,1011,10.2
19191,7.0,1549,8.6
19193,3.0,12882,12.8
19195,9.0,711,9.8
19197,7.0,1364,11.0
20001,7.0,2067,17.3
20003,6.0,982,12.7
20005,6.0,2051,13.8
20007,9.0,593,13.6
20009,7.0,3345,13.4
20011,6.0,2185,15.6
20013,6.0,1454,15.4
20015,2.0,5460,8.5
20017,8.0,285,11.4
20019,9.0,518,16.4
20021,6.0,3016,15.4
20023,9.0,301,11.6
20025,9.0,238,12.4
20027,7.0,780,10.0
20029,7.0,1123,13.5
20031,6.0,903,11.2
20033,9.0,187,11.6
20035,4.0,4416,13.5
20037,4.0,6828,18.5
20039,9.0,361,13.2
20041,7.0,1764,9.8
20043,3.0,810,11.4
20045,3.0,17127,15.1
20047,9.0,322,11.7
20049,8.0,481,19.4
20051,5.0,3596,13.1
20053,7.0,490,9.6
20055,5.0,4647,13.0
20057,5.0,4522,13.8
20059,1.0,2594,10.4
20061,5.0,3586,11.7
20063,9.0,246,9.6
20065,9.0,288,11.8
20067,7.0,743,10.5
20069,9.0,448,7.6
20071,9.0,131,10.9
20073,6.0,873,14.9
20075,9.0,332,13.1
20077,8.0,751,14.2
20079,2.0,3058,9.3
20081,9.0,379,9.7
20083,9.0,184,10.4
20085,3.0,1410,10.9
20087,3.0,1456,7.8
20089,9.0,369,13.0
20091,1.0,31666,5.3
20093,9.0,389,10.4
20095,6.0,783,11.3
20097,9.0,281,12.1
20099,7.0,3027,15.8
20101,9.0,157,10.3
20103,1.0,6255,8.3
20105,9.0,350,12.1
20107,1.0,1148,12.0
20109,9.0,274,10.0
20111,5.0,4790,15.1
20113,6.0,1991,7.2
20115,6.0,1191,10.7
20117,7.0,896,9.4
20119,9.0,380,9.7
20121,1.0,2294,6.8
20123,7.0,630,11.1
20125,5.0,4807,15.7
20127,9.0,582,10.5
20129,9.0,292,11.7
20131,8.0,872,8.8
20133,7.0,2426,15.7
20135,9.0,283,10.6
20137,7.0,527,11.6
20139,3.0,2231,14.2
20141,9.0,445,13.5
20143,9.0,553,9.9
20145,7.0,755,14.0
20147,7.0,565,11.0
20149,6.0,1735,7.2
20151,7.0,981,11.2
20153,9.0,352,14.2
20155,4.0,7882,13.4
20157,9.0,553,12.2
20159,7.0,1042,11.8
20161,5.0,13334,20.9
20163,9.0,509,10.5
20165,9.0,362,12.2
20167,7.0,974,14.4
20169,5.0,6514,12.3
20171,7.0,372,7.9
20173,2.0,64061,12.6
20175,7.0,2969,14.2
20177,3.0,16817,9.8
20179,9.0,294,11.8
20181,7.0,725,12.5
20183,9.0,407,11.6
20185,9.0,559,13.7
20187,9.0,206,10.6
20189,7.0,524,9.7
20191,2.0,2542,11.4
20193,7.0,670,9.1
20195,9.0,295,10.8
20197,3.0,472,6.9
20199,9.0,181,12.1
20201,9.0,502,9.5
20203,9.0,230,11.0
20205,7.0,1110,13.3
20207,9.0,440,14.3
20209,1.0,33777,20.6
21001,7.0,3832,21.4
21003,6.0,3543,16.8
21005,6.0,2294,10.2
21007,9.0,1195,15.5
21009,6.0,8697,20.1
21011,8.0,2397,19.4
21013,7.0,7569,30.3
21015,1.0,9435,7.1
21017,2.0,2736,14.1
21019,2.0,9186,20.6
21021,7.0,4119,15.5
21023,1.0,1156,14.1
