fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
48427,TX,Starr County,5.0,15.8,10.9,3515.0,46.686519622802734,26.34772682189941,17.091327667236328,9.874427795410156
48429,TX,Stephens County,11.0,25.6,29.6,1021.0,21.46605110168457,28.63730239868164,33.661949157714844,16.234695434570312
48431,TX,Sterling County,7.0,27.8,25.3,74.0,10.580645561218262,52.0,27.870967864990234,9.54838752746582
48433,TX,Stonewall County,12.0,30.3,20.5,146.0,18.72469711303711,34.41295623779297,32.08502197265625,14.77732753753662
48435,TX,Sutton County,11.0,33.1,21.5,438.0,26.0546875,33.0078125,23.828125,17.109375
48437,TX,Swisher County,6.0,24.8,22.5,766.0,26.7358341217041,29.90822029113769,28.0726261138916,15.283320426940918
48439,TX,Tarrant County,1.0,31.0,31.2,424067.0,13.888076782226562,23.9632511138916,29.8759822845459,32.27268981933594
48441,TX,Taylor County,2.0,30.1,30.3,21084.0,10.674345970153809,30.969371795654297,33.11142349243164,25.244857788085938
48443,TX,Terrell County,12.0,30.6,24.5,139.0,13.527851104736328,26.790451049804688,41.24668502807617,18.43501281738281
48445,TX,Terry County,6.0,28.4,21.2,910.0,31.614517211914062,31.65206527709961,25.344181060791016,11.389236450195312
48447,TX,Throckmorton County,12.0,25.4,25.7,237.0,13.394495010375977,35.688072204589844,29.17431259155273,21.743120193481445
48449,TX,Titus County,8.0,31.0,22.9,3253.0,23.306873321533203,33.40534591674805,26.94433212280273,16.343448638916016
48451,TX,Tom Green County,2.0,28.0,28.2,18481.0,13.730963706970217,30.223203659057617,31.59391975402832,24.45191192626953
48453,TX,Travis County,1.0,25.5,26.7,421360.0,10.66759204864502,16.489805221557617,22.86098861694336,49.98161315917969
48455,TX,Trinity County,8.0,27.5,24.2,1364.0,16.920026779174805,35.89840316772461,34.302711486816406,12.878859519958496
48457,TX,Tyler County,6.0,31.1,20.8,2026.0,17.980947494506836,43.00079345703125,25.61524200439453,13.403017044067385
48459,TX,Upshur County,2.0,31.2,29.0,4768.0,14.152059555053713,34.43022537231445,34.326271057128906,17.09144401550293
48461,TX,Upton County,7.0,28.4,21.2,234.0,24.44444465637207,41.19341659545898,24.73250961303711,9.629630088806152
