fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
8027,8.0,306.0,44.5
8029,6.0,4845.0,50.9
8031,1.0,110353.0,38.5
8033,9.0,513.0,60.4
8035,1.0,1278.0,28.5
8037,5.0,1605.0,43.4
8039,1.0,1034.0,45.2
8041,2.0,29143.0,27.1
8043,4.0,6890.0,50.9
8045,5.0,3446.0,41.4
8047,1.0,259.0,35.1
8049,8.0,943.0,40.3
8051,7.0,910.0,30.8
8053,9.0,41.0,48.8
8055,6.0,2403.0,61.0
8057,9.0,369.0,39.5
8059,1.0,31007.0,25.4
8061,9.0,512.0,46.4
8063,7.0,1974.0,46.4
8065,7.0,1738.0,43.9
8067,6.0,3928.0,39.9
8069,2.0,13751.0,31.5
8071,7.0,5143.0,58.6
8073,8.0,1300.0,45.5
8075,7.0,4067.0,41.5
8077,3.0,12419.0,40.9
8079,9.0,156.0,33.1
8081,7.0,1547.0,43.2
8083,6.0,3499.0,51.4
8085,7.0,4648.0,46.5
8087,6.0,5434.0,50.0
8089,6.0,6486.0,51.7
8091,9.0,426.0,44.3
8093,1.0,473.0,37.7
8095,9.0,1115.0,43.8
8097,7.0,536.0,15.9
8099,7.0,3242.0,47.3
8101,3.0,30157.0,48.8
8103,9.0,869.0,34.3
8105,7.0,2627.0,48.0
8107,7.0,1322.0,36.8
8109,9.0,1094.0,55.6
8111,9.0,189.0,41.4
8113,9.0,514.0,51.5
8115,9.0,991.0,49.1
8117,7.0,442.0,32.0
8119,2.0,619.0,32.3
8121,9.0,1606.0,49.2
8123,3.0,18779.0,42.9
8125,7.0,2598.0,49.9
9001,2.0,182696.0,40.5
9003,1.0,199750.0,43.9
9005,4.0,37551.0,45.6
9007,1.0,27436.0,42.7
9009,2.0,192144.0,46.1
9011,2.0,54768.0,45.6
9013,1.0,19955.0,39.7
9015,4.0,26530.0,57.4
10001,3.0,18865.0,47.7
10003,1.0,86082.0,42.4
10005,4.0,25516.0,57.0
11001,1.0,189720.0,44.8
12001,3.0,18825.0,40.2
12003,1.0,3119.0,65.1
12005,3.0,18967.0,49.0
12007,6.0,4977.0,63.5
12009,2.0,34845.0,29.3
12011,1.0,175532.0,44.6
12013,6.0,2864.0,69.3
12015,3.0,9946.0,47.0
12017,4.0,7646.0,57.5
12019,1.0,7546.0,46.5
12021,2.0,9668.0,41.6
12023,6.0,7366.0,56.5
12027,6.0,5078.0,64.1
12029,6.0,1825.0,65.7
12031,1.0,131440.0,48.4
12033,2.0,49390.0,49.7
12035,4.0,1436.0,55.4
12037,6.0,2577.0,64.7
12039,2.0,14465.0,69.4
12041,3.0,1351.0,68.4
12043,6.0,1325.0,67.9
12045,6.0,3042.0,57.7
12047,6.0,2698.0,67.7
12049,6.0,4984.0,64.6
12051,4.0,3799.0,63.6
12053,1.0,6274.0,59.2
12055,4.0,10320.0,56.4
12057,1.0,136065.0,50.7
12059,6.0,4499.0,71.5
12061,3.0,9994.0,46.5
12063,6.0,11599.0,63.7
12065,2.0,2909.0,65.9
12067,8.0,1087.0,67.3
12069,1.0,22581.0,51.8
12071,2.0,30744.0,45.9
12073,2.0,16506.0,35.5
12075,8.0,4687.0,65.6
12077,8.0,1267.0,69.7
12079,6.0,4885.0,69.8
12081,2.0,31914.0,47.3
12083,2.0,20641.0,52.8
12085,2.0,8615.0,48.9
12086,1.0,369936.0,48.1
12087,4.0,12358.0,44.0
12089,1.0,6402.0,61.5
12091,3.0,13196.0,32.9
12093,4.0,3631.0,67.1
12095,1.0,80319.0,43.4
12097,1.0,8823.0,55.7
12099,1.0,94604.0,44.3
12101,1.0,31468.0,57.8
12103,1.0,171570.0,47.0
12105,2.0,68029.0,53.7
12107,4.0,11729.0,60.0
12109,1.0,9039.0,52.0
12111,2.0,15336.0,53.2
12113,2.0,8024.0,45.2
12115,2.0,30915.0,36.1
12117,1.0,20411.0,45.6
12119,4.0,5319.0,63.8
12121,6.0,5609.0,66.4
12123,6.0,4554.0,63.6
12125,6.0,3110.0,66.1
12127,2.0,46457.0,43.1
12129,2.0,2288.0,68.5
12131,6.0,5785.0,62.5
12133,6.0,4327.0,67.9
13001,7.0,4606.0,72.6
13003,9.0,2214.0,78.0
13005,7.0,3417.0,79.9
13007,3.0,1498.0,79.2
13009,4.0,14324.0,71.7
13011,8.0,3138.0,82.1
13013,1.0,6943.0,74.2
13015,1.0,12609.0,72.2
13017,7.0,5482.0,72.9
13019,6.0,4811.0,77.5
13021,3.0,43778.0,57.4
13023,6.0,3758.0,73.8
13025,3.0,2064.0,68.8
13027,3.0,5318.0,73.6
13029,2.0,2477.0,77.8
13031,4.0,8891.0,62.0
13033,2.0,6981.0,79.7
13035,1.0,3892.0,71.6
13037,8.0,2536.0,78.3
13039,4.0,3373.0,61.8
13043,7.0,2654.0,75.1
13045,1.0,15509.0,68.3
13047,2.0,8892.0,60.0
13049,6.0,1834.0,68.5
13051,2.0,49618.0,51.8
13053,2.0,1374.0,25.7
13055,6.0,8696.0,75.8
13057,1.0,11730.0,71.7
13059,3.0,10989.0,38.7
13061,9.0,1472.0,77.6
13063,1.0,23474.0,50.5
13065,6.0,2285.0,74.5
13067,1.0,49786.0,49.8
13069,7.0,7937.0,70.3
13071,6.0,11576.0,68.5
13073,2.0,6106.0,58.7
13075,6.0,4503.0,72.1
13077,1.0,11818.0,68.5
13079,3.0,2166.0,77.4
13081,6.0,6383.0,69.1
13083,2.0,3659.0,73.6
13085,1.0,1621.0,82.5
13087,6.0,8516.0,73.0
13089,1.0,77829.0,36.2
13091,7.0,6350.0,75.5
13093,6.0,4099.0,77.0
13095,3.0,21270.0,51.7
13097,1.0,9340.0,63.9
13099,6.0,5095.0,78.6
13101,3.0,672.0,75.3
13103,2.0,5008.0,73.7
13105,6.0,7401.0,77.7
13107,7.0,7336.0,76.0
13109,6.0,2942.0,78.0
13111,8.0,5572.0,72.1
13113,1.0,3786.0,63.0
13115,3.0,26218.0,64.4
13117,1.0,6364.0,72.0
13119,8.0,5365.0,74.9
13121,1.0,164315.0,50.1
13123,6.0,3693.0,73.5
13125,9.0,1224.0,88.4
13127,3.0,13169.0,51.8
13129,6.0,9460.0,74.3
13131,6.0,6750.0,71.0
13133,6.0,3827.0,69.7
13135,1.0,22991.0,62.4
13137,6.0,7301.0,67.7
13139,3.0,20973.0,66.6
13141,7.0,3532.0,80.3
13143,1.0,6139.0,69.7
13145,2.0,4321.0,69.9
13147,6.0,6651.0,79.4
13149,1.0,2379.0,80.8
13151,1.0,8263.0,69.4
13153,3.0,11800.0,40.1
13155,7.0,3139.0,72.0
13157,6.0,8103.0,70.6
13159,1.0,2139.0,69.5
13161,7.0,3456.0,72.5
13163,6.0,6757.0,79.3
13165,6.0,3476.0,81.3
13167,9.0,3205.0,78.7
13169,3.0,4056.0,67.1
13171,1.0,3944.0,71.9
13173,3.0,1824.0,72.0
13175,6.0,12567.0,70.5
13177,3.0,2314.0,72.6
13179,3.0,3856.0,57.0
13181,8.0,2475.0,80.6
13183,3.0,1476.0,79.0
13185,3.0,14101.0,54.1
13187,6.0,3104.0,74.7
13189,2.0,5097.0,65.9
13191,3.0,2535.0,72.7
13193,6.0,4715.0,75.2
13195,3.0,5540.0,76.9
13197,2.0,2036.0,81.1
13199,1.0,7196.0,71.2
13201,8.0,2663.0,76.2
13205,6.0,7133.0,75.3
13207,3.0,3976.0,71.7
13209,9.0,2332.0,73.5
13211,6.0,3689.0,73.1
13213,3.0,5090.0,75.4
13215,2.0,40831.0,49.9
13217,1.0,9469.0,70.9
13219,3.0,2534.0,60.5
13221,3.0,3255.0,80.1
13223,1.0,7133.0,77.8
13225,6.0,4536.0,62.9
13227,1.0,4235.0,80.6
13229,6.0,3486.0,71.1
13231,1.0,3002.0,77.6
13233,6.0,12004.0,73.4
13235,6.0,3144.0,70.7
13237,6.0,2691.0,64.7
13239,9.0,871.0,78.8
13241,9.0,3356.0,70.6
13243,6.0,3783.0,80.6
13245,2.0,39448.0,51.9
13247,1.0,5991.0,64.6
13249,8.0,1208.0,77.9
13251,6.0,5349.0,80.8
13253,6.0,2594.0,69.5
13255,1.0,14737.0,68.5
13257,7.0,7621.0,67.0
13259,8.0,2492.0,77.3
13261,6.0,8749.0,67.0
13263,8.0,2550.0,78.7
13265,8.0,1171.0,88.1
13267,6.0,6981.0,73.8
13269,8.0,3264.0,80.2
13271,7.0,4431.0,73.6
13273,3.0,4089.0,71.3
13275,4.0,12371.0,67.8
13277,4.0,9002.0,67.2
