fips,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19,residual_2019,r_net_mig_2019,unemployed_2020,unemployment_rate_2020,med_hh_income_percent_of_state_total_2019,party,cluster
05099,9.615056037902832,42.99401092529297,14.593669891357422,0.0,-6.52173913,208.0,5.9,74.51652526855469,REPUBLICAN,3
05101,13.517289161682127,35.38246536254883,20.4680404663086,-1.0,-2.829036199,162.0,5.0,76.80130767822266,REPUBLICAN,3
05103,13.95604419708252,41.61172103881836,14.468864440917969,-2.0,-6.255052976,592.0,6.0,94.64096069335938,REPUBLICAN,3
05105,15.15443992614746,41.6712646484375,12.658576965332031,-1.0,9.3112550996,232.0,5.5,103.1415786743164,REPUBLICAN,3
05107,19.72664451599121,31.94432830810547,13.776147842407228,1.0,-15.90579306,580.0,9.1,64.30232238769531,DEMOCRAT,3
05109,12.611295700073242,38.073089599609375,17.28903579711914,-2.0,7.6692854471,252.0,5.9,90.6283187866211,REPUBLICAN,3
05111,19.666093826293945,43.08249282836914,11.072918891906738,1.0,-14.84261348,545.0,5.5,82.69277954101562,REPUBLICAN,3
05113,15.078630447387695,36.54735565185547,14.096633911132812,-2.0,0.9003826626,531.0,6.6,81.03223419189453,REPUBLICAN,3
05115,15.520604133605955,35.19172286987305,22.764869689941406,-1.0,4.8094245923,1637.0,5.9,96.93798828125,REPUBLICAN,3
05117,16.79491424560547,39.94647216796875,15.439946174621582,-1.0,2.1060455897,193.0,5.3,94.2574462890625,REPUBLICAN,3
05119,9.648567199707031,25.956928253173828,34.31521987915039,-17.0,-3.220090096,14044.0,7.4,107.47450256347656,DEMOCRAT,3
05121,17.110857009887695,36.11020278930664,13.848920822143556,1.0,0.3896682253,439.0,5.9,87.46430206298828,REPUBLICAN,3
05123,18.08083152770996,37.61862182617188,10.38852310180664,1.0,-20.03841356,634.0,7.9,70.15299987792969,DEMOCRAT,3
05125,9.3784761428833,31.350664138793945,26.69044685363769,-5.0,9.7572594257,2940.0,5.1,136.56466674804688,REPUBLICAN,3
05127,20.860122680664062,40.76296615600586,9.315616607666016,0.0,-5.140640155,195.0,4.5,77.6519775390625,REPUBLICAN,3
05129,18.24615859985352,40.15190887451172,11.893664360046388,-2.0,-1.138447916,184.0,6.4,70.8119125366211,REPUBLICAN,3
05131,15.937698364257812,31.038986206054688,21.31849479675293,-2.0,-1.918581659,3355.0,6.0,99.84700012207033,REPUBLICAN,3
05133,23.488676071166992,37.460227966308594,12.792438507080078,1.0,-8.923329811,322.0,5.8,88.72501373291016,REPUBLICAN,3
05135,16.54038429260254,40.87538146972656,10.164436340332031,-2.0,11.574340666,408.0,7.1,76.68502807617188,REPUBLICAN,3
05137,18.84356689453125,34.87741470336914,13.87502670288086,0.0,8.5737179487,328.0,7.1,75.33659362792969,REPUBLICAN,3
05139,15.054366111755373,35.5303955078125,21.081342697143555,0.0,-9.945901492,1297.0,8.3,95.06732177734376,REPUBLICAN,3
05141,14.875357627868652,42.60727310180664,14.523906707763672,-1.0,1.2055455093,409.0,7.1,77.71521759033203,REPUBLICAN,3
05143,14.998581886291504,25.72553253173828,33.310638427734375,6.0,4.0605467026,5795.0,4.6,106.4014663696289,REPUBLICAN,3
05145,15.60421085357666,39.31282806396485,20.8558349609375,-5.0,4.238420711,2117.0,6.2,94.6307601928711,REPUBLICAN,3
05147,18.29686737060547,43.77949523925781,14.049763679504396,-2.0,-17.51916158,163.0,5.8,74.5981216430664,REPUBLICAN,3
05149,21.7976131439209,40.04966354370117,12.816444396972656,0.0,-6.307969068,405.0,5.1,90.71603393554688,REPUBLICAN,3
06001,11.55695343017578,17.56516456604004,47.42244720458984,-25.0,-1.848964301,71396.0,8.8,133.77890014648438,DEMOCRAT,0
06003,8.831169128417969,28.05194854736328,34.54545593261719,-1.0,32.461677187,58.0,11.2,72.2579345703125,DEMOCRAT,3
06005,9.981844902038574,27.469879150390625,19.2672061920166,-1.0,11.824601741,1317.0,9.1,77.88816833496094,REPUBLICAN,3
06007,10.754597663879396,22.49761009216309,27.218000411987305,98.0,-49.59012291,8509.0,9.2,72.60858154296875,DEMOCRAT,3
06009,9.825528144836426,28.00447654724121,18.31955909729004,0.0,7.3796709715,1619.0,7.6,84.86129760742188,REPUBLICAN,3
06011,28.748994827270508,26.219200134277344,15.003290176391602,-1.0,-1.070638892,1675.0,16.0,73.42178344726562,REPUBLICAN,3
06013,10.533958435058594,17.254674911499023,42.35357284545898,-4.0,-0.504330428,48020.0,8.9,132.49319458007812,DEMOCRAT,0
06015,19.94502067565918,31.027286529541016,14.79841136932373,-2.0,2.448156682,884.0,9.5,60.9017333984375,REPUBLICAN,3
06017,6.5891642570495605,21.26353645324707,34.2959098815918,-13.0,11.392401763,7490.0,8.3,107.18575286865234,REPUBLICAN,3
06019,24.039581298828125,22.71223258972168,21.1738395690918,-19.0,0.1315887941,50260.0,11.3,70.78323364257812,DEMOCRAT,0
06021,25.168514251708984,27.240821838378903,14.155200004577637,0.0,10.858765082,1113.0,8.9,69.23641204833984,REPUBLICAN,3
06023,9.529216766357422,22.176437377929688,30.41540908813477,-6.0,-4.724027049,4965.0,8.4,63.58131408691406,DEMOCRAT,3
06025,30.271055221557617,24.319637298583984,15.219069480895996,10.0,-10.8452933,15653.0,22.5,59.81124877929688,DEMOCRAT,3
06027,11.420781135559082,28.589820861816406,27.1660099029541,-1.0,4.1684035015,647.0,7.8,74.11437225341797,DEMOCRAT,3
